Date,Price,Open,High,Low,Change %
01-Jul-18,"6,351.90","6,364.60","6,431.60","6,201.70",-0.20%
30-Jun-18,"6,364.60","6,205.40","6,499.40","5,772.20",2.65%
29-Jun-18,"6,200.50","5,856.10","6,268.90","5,811.10",5.88%
28-Jun-18,"5,856.10","6,106.10","6,124.60","5,856.10",-4.09%
27-Jun-18,"6,106.10","6,059.50","6,126.10","6,006.60",0.77%
26-Jun-18,"6,059.50","6,252.10","6,255.10","6,048.70",-2.58%
25-Jun-18,"6,220.10","6,133.10","6,329.50","5,050.50",1.42%
24-Jun-18,"6,133.10","6,217.90","6,488.70","5,276.30",-0.71%
23-Jun-18,"6,176.80","6,074.90","6,254.30","6,048.70",2.03%
22-Jun-18,"6,053.70","6,695.20","6,722.70","5,985.60",-9.87%
21-Jun-18,"6,716.60","6,739.00","6,791.60","6,658.60",-0.33%
20-Jun-18,"6,739.00","6,688.90","6,777.70","6,554.80",0.75%
19-Jun-18,"6,688.90","6,686.10","6,810.30","6,656.40",0.04%
18-Jun-18,"6,686.10","6,489.40","6,799.00","6,396.40",3.03%
17-Jun-18,"6,489.40","6,495.70","6,586.50","6,441.30",-0.16%
16-Jun-18,"6,499.80","6,431.50","6,545.00","6,336.00",1.06%
15-Jun-18,"6,431.50","6,624.90","6,650.00","6,386.40",-2.73%
14-Jun-18,"6,611.90","6,307.70","6,691.20","6,304.40",4.82%
13-Jun-18,"6,307.70","6,585.40","6,625.10","5,050.00",-4.35%
12-Jun-18,"6,594.40","6,871.00","7,249.00","6,497.40",-4.03%
11-Jun-18,"6,871.00","6,745.50","6,933.00","6,700.00",1.86%
10-Jun-18,"6,745.50","7,487.80","7,487.80","5,500.00",-9.72%
09-Jun-18,"7,472.00","7,643.40","7,691.00","7,469.50",-2.24%
08-Jun-18,"7,643.40","7,625.90","7,690.60","7,548.20",-0.19%
07-Jun-18,"7,657.70","7,617.00","7,726.10","7,544.90",0.53%
06-Jun-18,"7,617.00","7,581.50","7,672.30","7,479.30",0.40%
05-Jun-18,"7,587.00","7,507.30","7,637.20","7,356.40",1.06%
04-Jun-18,"7,507.30","7,693.20","7,718.30","7,453.30",-2.42%
03-Jun-18,"7,693.20","7,589.40","7,747.20","7,588.50",1.37%
02-Jun-18,"7,589.40","7,513.10","7,672.30","7,446.00",1.02%
01-Jun-18,"7,513.10","7,486.90","7,592.30","7,351.00",0.35%
31-May-18,"7,486.90","7,388.40","7,723.00","7,368.30",1.33%
30-May-18,"7,388.40","7,420.00","8,017.00","7,308.50",-0.43%
29-May-18,"7,420.00","7,108.70","7,513.10","7,093.10",3.97%
28-May-18,"7,136.60","7,345.10","7,426.10","7,103.10",-3.28%
27-May-18,"7,378.40","7,397.00","7,592.30","7,308.50",-0.25%
26-May-18,"7,397.00","7,457.40","7,611.20","7,350.00",-0.81%
25-May-18,"7,457.40","7,574.50","7,644.10","7,095.10",-1.55%
